folio,nro,upm,ms02_0216,ms01_0101_1a,ms01_0101_1b,ms01_0101_1c,ms02_0217,ms02_0218,ms02_0219_1,ms02_0219_2,ms02_0220,ms02_0221,ms02_0222,ms02_0223,ms02_0224,ms02_0224_1,ms02_0225,ms02_0225_cod,estrato,departamento,area,ponderadorm,b3,v008,ms02_0223_o
142-003969-D-0391,1.0,142-003969-D,6.0,21.0,10.0,2023.0,1. UNICO,2. MUJER,9.0,2012.0,1. SI,11.0,2. NO,0.0,,,,,122,1. Chuquisaca,2. Rural,0.4821546828599422,1353.0,1486.0,0.0
141-003960-D-0541,2.0,141-003960-D,1.0,18.0,10.0,2023.0,1. UNICO,2. MUJER,4.0,2008.0,1. SI,15.0,2. NO,0.0,,,,,121,1. Chuquisaca,2. Rural,0.591152698929848,1300.0,1486.0,0.0
141-003960-D-0541,2.0,141-003960-D,2.0,18.0,10.0,2023.0,1. UNICO,1. HOMBRE,5.0,2012.0,1. SI,11.0,2. NO,0.0,,,,,121,1. Chuquisaca,2. Rural,0.591152698929848,1349.0,1486.0,0.0
141-003960-D-0541,2.0,141-003960-D,3.0,18.0,10.0,2023.0,1. UNICO,2. MUJER,8.0,2016.0,1. SI,7.0,2. NO,0.0,,,,,121,1. Chuquisaca,2. Rural,0.591152698929848,1400.0,1486.0,0.0
141-003960-D-0541,2.0,141-003960-D,4.0,18.0,10.0,2023.0,1. UNICO,1. HOMBRE,2.0,2021.0,1. SI,2.0,1. SI,3.0,,,,,121,1. Chuquisaca,2. Rural,0.591152698929848,1454.0,1486.0,3.0
114-002017-A-0411,2.0,114-002017-A,1.0,28.0,9.0,2023.0,1. UNICO,2. MUJER,12.0,2021.0,1. SI,1.0,1. SI,3.0,,,,,114,1. Chuquisaca,1. Urbana,0.9363903901289461,1464.0,1485.0,3.0
114-002017-A-0381,1.0,114-002017-A,1.0,30.0,9.0,2023.0,1. UNICO,2. MUJER,9.0,2013.0,1. SI,10.0,2. NO,0.0,,,,,114,1. Chuquisaca,1. Urbana,0.9363903901289461,1365.0,1485.0,0.0
114-002017-A-0381,1.0,114-002017-A,2.0,30.0,9.0,2023.0,1. UNICO,2. MUJER,10.0,2015.0,1. SI,7.0,2. NO,0.0,,,,,114,1. Chuquisaca,1. Urbana,0.9363903901289461,1390.0,1485.0,0.0
114-002017-A-0021,2.0,114-002017-A,1.0,5.0,10.0,2023.0,1. UNICO,2. MUJER,12.0,2020.0,1. SI,2.0,1. SI,3.0,,,,,114,1. Chuquisaca,1. Urbana,0.9363903901289461,1452.0,1486.0,3.0
111-000031-A-0131,2.0,111-000031-A,1.0,4.0,9.0,2023.0,1. UNICO,1. HOMBRE,8.0,2008.0,1. SI,15.0,1. SI,3.0,,,,,111,1. Chuquisaca,1. Urbana,0.3771723205475042,1304.0,1485.0,3.0
